what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608039095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608042151
activated,view,EBoxPlugin,1.1.0.201501280346,"com.amphisoft.ebox.eclipse.plugin.views.EboxView",1471608042192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1471608042193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1471608042193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608079702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608084696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471608086133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608089685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608091078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608103276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608104578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608127511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471608275361
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1471608288004
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471608298852
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471608299102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1471608301309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1471608310435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1471608313810
